iter	Logloss
0	0.6791765725
1	0.6655525599
2	0.653546198
3	0.6425053567
4	0.631600308
5	0.6228960103
6	0.6132294857
7	0.6033061922
8	0.594212037
9	0.5849736972
10	0.5767109031
11	0.5685093414
12	0.5606692923
13	0.554733578
14	0.548323824
15	0.5420224932
16	0.5361951009
17	0.5302002593
18	0.5245840643
19	0.5189608595
20	0.5147301237
21	0.5102103629
22	0.5065239183
23	0.5027253768
24	0.4986023771
25	0.4946220289
26	0.4908788736
27	0.4875650992
28	0.4849424585
29	0.4817363667
30	0.4785367246
31	0.4759575518
32	0.4737748588
33	0.4714833245
34	0.4692224354
35	0.4671296531
36	0.4644747288
37	0.4624583351
38	0.4605766384
39	0.4585806969
40	0.4568845481
41	0.4552085928
42	0.4536306716
43	0.452299958
44	0.4510127207
45	0.4498362716
46	0.4484933204
47	0.4472338082
48	0.4457735827
49	0.4445604995
50	0.4429794405
51	0.4416153651
52	0.4404319564
53	0.4391515983
54	0.4378611273
55	0.4373676297
56	0.4362888546
57	0.4352297537
58	0.4343271059
59	0.4333243693
60	0.4321025855
61	0.43100805
62	0.4302433456
63	0.4292479246
64	0.428376262
65	0.4275077719
66	0.4268550776
67	0.4260544756
68	0.4254711397
69	0.4247433077
70	0.423982642
71	0.4233186053
72	0.4227326669
73	0.4220092012
74	0.4212334861
75	0.4206297453
76	0.4199439682
77	0.4192718568
78	0.4187944626
79	0.4182383295
80	0.4178042367
81	0.4173077374
82	0.4168118812
83	0.416366785
84	0.4159238251
85	0.4156327684
86	0.4153138846
87	0.4148631523
88	0.4144816594
89	0.4140834739
90	0.4138030433
91	0.4133333796
92	0.4127963383
93	0.4125623381
94	0.4123051839
95	0.4120419273
96	0.4117939023
97	0.4113871059
98	0.4112191968
99	0.4109984048
100	0.4105470181
101	0.4102880253
102	0.4100553612
103	0.4095817323
104	0.4091226793
105	0.4087318336
106	0.4084529786
107	0.4081179022
108	0.4079244362
109	0.4076675769
110	0.4073936173
111	0.4071530159
112	0.4068161023
113	0.4064824574
114	0.4062000857
115	0.4057992953
116	0.4054421022
117	0.4051177488
118	0.4048891855
119	0.4044996286
120	0.4043785714
121	0.4041079748
122	0.4039930362
123	0.4038351637
124	0.4036457294
125	0.4033924513
126	0.4031729905
127	0.4030754266
128	0.4029247486
129	0.402622588
130	0.4024086287
131	0.4022550033
132	0.4020860577
133	0.4018079556
134	0.4015143508
135	0.4012895383
136	0.4011214931
137	0.4009737597
138	0.4007347676
139	0.4005652315
140	0.4004172375
141	0.4002896191
142	0.4000236118
143	0.3999010238
144	0.3997105798
145	0.3995290401
146	0.3994936258
147	0.3993841246
148	0.3992362341
149	0.3991049321
150	0.3989168003
151	0.3988780789
152	0.3987320176
153	0.3985584808
154	0.3984364924
155	0.3983963303
156	0.3983722498
157	0.3982681392
158	0.3981879758
159	0.398086372
160	0.398047556
161	0.3978636256
162	0.3978365324
163	0.3977619806
164	0.3976447453
165	0.397466229
166	0.3974405415
167	0.397424256
168	0.3973731933
169	0.3970041675
170	0.3969847866
171	0.3968730936
172	0.3968414147
173	0.396762758
174	0.3967406257
175	0.3966176104
176	0.3965233192
177	0.3964753433
178	0.3963529055
179	0.3963281653
180	0.3962235845
181	0.3961902665
182	0.3961562866
183	0.3960610955
184	0.3960316274
185	0.3959619256
186	0.3958847731
187	0.3958671697
188	0.3958484404
189	0.3957202679
190	0.3955000213
191	0.3954772368
192	0.3954081718
193	0.3953617681
194	0.3953381829
195	0.395321068
196	0.3952764535
197	0.3952337482
198	0.3951075253
199	0.3950754925
200	0.3949883874
201	0.3949261718
202	0.3949017348
203	0.3948782062
204	0.3948514151
205	0.3947610199
206	0.3947283264
207	0.3947148363
208	0.3946926966
209	0.3946333888
210	0.3944044409
211	0.3943503688
212	0.394298503
213	0.3942771734
214	0.394251878
215	0.3941646319
216	0.3941409326
217	0.39411314
218	0.3940766441
219	0.393956661
220	0.3939089775
221	0.3938794262
222	0.3938609898
223	0.3937500711
224	0.3937249236
225	0.3936785
226	0.393558028
227	0.3935216566
228	0.3934414012
229	0.3934192501
230	0.3933953741
231	0.3933580028
232	0.3932721129
233	0.3931920711
234	0.3931582043
235	0.3931392794
236	0.3930135348
237	0.3929886166
238	0.3927656134
239	0.3927480076
240	0.3926629929
241	0.3926338736
242	0.3925596543
243	0.3924538953
244	0.3924400659
245	0.3924054017
246	0.3922490878
247	0.3922083934
248	0.392158327
249	0.3921312879
250	0.3921067637
251	0.3920816292
252	0.3920596101
253	0.392005858
254	0.3919847963
255	0.3919536803
256	0.3919236967
257	0.391904292
258	0.3918740472
259	0.3918402629
260	0.3917788009
261	0.3916089881
262	0.3915920969
263	0.3915620841
264	0.3915372141
265	0.3915004959
266	0.3914878926
267	0.3913087497
268	0.3912889669
269	0.391275969
270	0.3912225593
271	0.3910276142
272	0.3909680635
273	0.390927307
274	0.3908989067
275	0.3908602875
276	0.3907801518
277	0.3907396896
278	0.3907130893
279	0.3906887171
280	0.3906615034
281	0.3906351366
282	0.3906111358
283	0.3905850786
284	0.3905578853
285	0.3905296238
286	0.3904990123
287	0.3904435518
288	0.3904019754
289	0.390322958
290	0.3902881181
291	0.3902530634
292	0.3902271851
293	0.3901982256
294	0.390177286
295	0.3901532
296	0.3901073226
297	0.3900801104
298	0.390047256
299	0.3899396704
300	0.389914358
301	0.3898790244
302	0.389816
303	0.3897782925
304	0.389742918
305	0.3897243191
306	0.3896904896
307	0.389650024
308	0.3894762993
309	0.3894577908
310	0.3894347132
311	0.389400035
312	0.3893653678
313	0.3893431943
314	0.3893108241
315	0.3892890626
316	0.3892180562
317	0.3891962717
318	0.389167015
319	0.3891360368
320	0.3890913408
321	0.3889873533
322	0.3888582219
323	0.3888334857
324	0.3888129868
325	0.3887811788
326	0.3887560031
327	0.3887159795
328	0.3886660909
329	0.3886439474
330	0.3886161191
331	0.3885915813
332	0.3885727212
333	0.3885247597
334	0.388495243
