iter	Passed	Remaining
0	154	154475
1	167	83742
2	180	60143
3	191	47785
4	206	41122
5	213	35313
6	227	32292
7	240	29871
8	253	27936
9	266	26408
10	279	25135
11	292	24072
12	305	23190
13	318	22406
14	331	21780
15	344	21197
16	357	20651
17	370	20190
18	382	19760
19	395	19385
20	408	19047
21	421	18729
22	433	18435
23	447	18181
24	460	17942
25	473	17731
26	486	17519
27	498	17321
28	511	17126
29	524	16959
30	537	16794
31	549	16634
32	562	16491
33	575	16361
34	588	16231
35	601	16119
36	615	16018
37	628	15920
38	642	15820
39	655	15720
40	667	15621
41	680	15527
42	693	15431
43	706	15347
44	719	15258
45	732	15189
46	745	15110
47	758	15033
48	771	14964
49	783	14893
50	796	14823
51	809	14763
52	822	14698
53	835	14636
54	848	14580
55	861	14527
56	874	14469
57	887	14413
58	900	14365
59	913	14314
60	926	14265
61	940	14222
62	952	14171
63	965	14122
64	978	14081
65	992	14041
66	1005	13997
67	1018	13952
68	1030	13907
69	1043	13863
70	1057	13838
71	1072	13824
72	1089	13834
73	1104	13826
74	1118	13798
75	1132	13767
76	1145	13730
77	1158	13693
78	1171	13659
79	1184	13623
80	1197	13589
81	1210	13554
82	1223	13521
83	1236	13487
84	1249	13453
85	1263	13423
86	1276	13392
87	1288	13357
88	1301	13325
89	1314	13290
90	1327	13259
91	1340	13228
92	1353	13197
93	1366	13169
94	1379	13143
95	1392	13113
96	1405	13080
97	1418	13057
98	1431	13028
99	1444	12998
100	1457	12969
101	1467	12915
102	1479	12884
103	1492	12856
104	1505	12836
105	1518	12810
106	1531	12785
107	1545	12767
108	1558	12743
109	1571	12717
110	1584	12692
111	1597	12665
112	1610	12637
113	1625	12634
114	1639	12618
115	1652	12595
116	1665	12570
117	1678	12543
118	1691	12520
119	1703	12495
120	1716	12471
121	1729	12449
122	1742	12427
123	1755	12403
124	1768	12382
125	1781	12360
126	1795	12339
127	1808	12318
128	1821	12296
129	1833	12273
130	1846	12250
131	1859	12228
132	1872	12207
133	1885	12185
134	1899	12167
135	1912	12150
136	1925	12127
137	1938	12107
138	1951	12086
139	1964	12065
140	1977	12044
141	1989	12021
142	2002	12001
143	2015	11979
144	2028	11958
145	2042	11946
146	2055	11925
147	2068	11905
148	2081	11889
149	2094	11869
150	2106	11846
151	2119	11825
152	2132	11804
153	2145	11785
154	2158	11768
155	2171	11746
156	2183	11725
157	2196	11706
158	2209	11685
159	2221	11664
160	2234	11644
161	2247	11625
162	2255	11581
163	2267	11560
164	2280	11540
165	2293	11523
166	2306	11503
167	2318	11484
168	2331	11463
